FSA,lat_coord,lon_coord
J3X,45.6793,-73.3949
J3Z,45.4839,-73.3786
J4B,45.5929,-73.422
J4G,45.5666,-73.4767
J4H,45.5369,-73.5054
J4J,45.5358,-73.4821
J4K,45.5175,-73.4996
J4L,45.5183,-73.458
J4M,45.5344,-73.4445
J4N,45.5501,-73.451
J4P,45.507,-73.5083
J4R,45.494,-73.5022
J4S,45.4816,-73.495
J4T,45.4974,-73.4676
J4V,45.4882,-73.4688
J4W,45.4671,-73.4832
J4X,45.4453,-73.4836
J4Y,45.4413,-73.4558
J4Z,45.4424,-73.423
J5A,45.3658,-73.629
J5B,45.3742,-73.5397
J5C,45.3982,-73.5756
J5J,45.8307,-73.9191
J5K,45.7395,-74.1392
J5L,45.8004,-74.0719
J5M,45.8572,-73.7737
J5R,45.392,-73.462
J5T,45.9051,-73.3252
J5V,46.2565,-72.9453
J5W,45.8493,-73.4088
J5X,45.8483,-73.5061
J5Y,45.7772,-73.426
J5Z,45.7709,-73.4951
J6A,45.7387,-73.4584
J6E,46.0326,-73.448
J6J,45.3752,-73.7473
J6K,45.3422,-73.7485
J6N,45.2972,-73.8715
J6R,45.3079,-73.7419
J6S,45.267,-74.0509
J6T,45.2458,-74.1329
J6V,45.7234,-73.5352
J6W,45.7058,-73.6176
J6X,45.7275,-73.7058
J6Y,45.7001,-73.7511
J6Z,45.6696,-73.7751
J7A,45.6389,-73.7982
J7B,45.6602,-73.8163
J7C,45.6876,-73.8596
J7E,45.6413,-73.8569
J7G,45.6083,-73.8388
J7H,45.6209,-73.8724
J7J,45.7118,-73.9305
J7K,45.7699,-73.6033
J7L,45.7449,-73.6531
J7M,45.7891,-73.7443
J7N,45.6377,-74.0908
J7P,45.577,-73.8824
J7R,45.5737,-73.9405
J7T,45.3696,-74.1243
J7V,45.3917,-74.028
J7W,45.3741,-73.9821
J7X,45.2718,-74.2374
J7Y,45.7985,-74.013
J7Z,45.7795,-73.9819
J8A,45.92,-73.9978
J8B,45.9679,-74.123
J8C,46.0717,-74.3178
J8E,46.1784,-74.5924
J8G,45.7606,-74.5335
J8H,45.7255,-74.3321
J8L,45.7157,-75.3943
J8M,45.5432,-75.4278
J8N,45.7339,-75.7223
J8P,45.4873,-75.6155
J8R,45.5288,-75.62
J8T,45.4778,-75.7055
J8V,45.5745,-75.7675
J8X,45.443,-75.7138
J8Y,45.4454,-75.7406
J8Z,45.4717,-75.7586
J9A,45.4376,-75.7646
J9B,45.5309,-75.856
J9E,46.3911,-75.948
J9H,45.3942,-75.8206
J9J,45.4404,-75.8462
J9L,46.5618,-75.6
J9P,47.9659,-77.6574
J9T,48.6158,-78.0085
J9V,47.3512,-79.4541
J9X,48.2677,-78.9817
J9Y,48.2929,-78.9944
J9Z,48.8209,-79.2103
